Node	Time	Power
n02	1381962634.68	61.40
n02	1381962635.68	68.60
n02	1381962636.68	68.80
n02	1381962637.68	77.70
n02	1381962638.68	78.00
n02	1381962639.68	78.00
n02	1381962640.68	71.10
n02	1381962641.68	71.10
n02	1381962642.68	71.10
n02	1381962643.68	71.00
n02	1381962644.69	71.00
n02	1381962645.68	70.90
n02	1381962646.68	70.90
n02	1381962647.68	76.30
n02	1381962648.69	106.30
n02	1381962649.68	271.70
n02	1381962650.68	271.50
n02	1381962651.69	272.00
n02	1381962652.69	272.30
n02	1381962653.69	272.60
n02	1381962654.69	272.60
n02	1381962655.69	273.00
n02	1381962656.69	273.00
n02	1381962657.69	272.90
n02	1381962658.69	273.00
n02	1381962659.68	273.30
n02	1381962660.69	273.20
n02	1381962661.69	273.40
n02	1381962662.69	273.40
n02	1381962663.69	273.70
n02	1381962664.69	265.40
n02	1381962665.69	252.00
n02	1381962666.69	251.90
n02	1381962667.69	251.70
n02	1381962668.69	251.80
n02	1381962669.69	251.90
n02	1381962670.69	251.80
n02	1381962671.69	251.90
n02	1381962672.69	252.00
n02	1381962673.69	251.90
n02	1381962674.69	252.10
n02	1381962675.69	252.20
n02	1381962676.69	252.10
n02	1381962677.69	252.20
n02	1381962678.69	252.40
n02	1381962679.69	252.30
n02	1381962680.69	252.40
n02	1381962681.69	252.60
n02	1381962682.69	252.60
n02	1381962683.69	252.80
n02	1381962684.69	253.00
n02	1381962685.69	252.90
n02	1381962686.69	253.10
n02	1381962687.69	253.20
n02	1381962688.69	253.10
n02	1381962689.69	253.30
n02	1381962690.69	253.40
n02	1381962691.69	253.40
n02	1381962692.69	253.50
n02	1381962693.69	253.70
n02	1381962694.69	265.90
n02	1381962695.69	276.20
n02	1381962696.69	275.80
n02	1381962697.70	253.50
n02	1381962698.69	253.70
n02	1381962699.70	253.90
n02	1381962700.70	253.90
n02	1381962701.70	254.20
n02	1381962702.69	254.40
n02	1381962703.69	254.40
n02	1381962704.70	254.60
n02	1381962705.69	254.90
n02	1381962706.69	265.40
n02	1381962707.70	277.90
n02	1381962708.69	278.30
n02	1381962709.69	268.10
n02	1381962710.70	257.20
n02	1381962711.70	257.00
n02	1381962712.69	256.70
n02	1381962713.70	256.80
n02	1381962714.69	256.80
n02	1381962715.69	256.60
n02	1381962716.69	256.60
n02	1381962717.69	256.70
n02	1381962718.69	256.60
n02	1381962719.69	256.80
n02	1381962720.70	256.90
n02	1381962721.70	256.70
n02	1381962722.70	256.90
n02	1381962723.69	257.10
n02	1381962724.69	241.40
n02	1381962725.69	164.10
n02	1381962726.70	164.00
n02	1381962727.70	163.80
n02	1381962728.70	163.80
n02	1381962729.70	163.80
n02	1381962730.70	141.40
