Time,Total,P_PKG0,P_PP00,P_DRAM0,P_PKG8,P_PP08,P_DRAM8
1381962637,163.6,21.69,7.91,1.09,35.21,21.49,1.07
1381962638,184.0,21.49,7.74,1.09,38.60,24.85,1.07
1381962639,184.6,32.35,18.58,1.09,41.54,27.80,1.07
1381962640,184.3,41.03,27.26,1.09,39.33,25.58,1.07
1381962641,167.0,35.78,22.00,1.09,39.31,25.55,1.06
1381962642,166.89999999999998,21.55,7.79,1.09,39.24,25.49,1.07
1381962643,167.0,21.61,7.83,1.09,39.29,25.53,1.06
1381962644,167.0,21.49,7.72,1.09,39.17,25.42,1.07
1381962645,167.0,21.60,7.84,1.09,39.19,25.43,1.07
1381962646,167.0,21.53,7.75,1.09,39.20,25.45,1.07
1381962647,167.10000000000002,21.56,7.80,1.09,39.25,25.48,1.07
1381962648,179.3,21.51,7.74,1.09,39.20,25.43,1.07
1381962649,261.9,23.48,9.74,1.13,30.44,16.70,1.07
1381962650,547.0,30.15,16.17,1.06,44.95,30.17,0.74
1381962651,547.2,114.36,98.88,0.57,107.61,93.43,0.96
1381962652,547.5,114.08,98.61,0.56,107.76,93.57,0.95
1381962653,547.8,112.47,96.99,0.60,106.25,92.10,0.97
1381962654,547.9000000000001,114.57,99.09,0.56,108.13,93.88,0.92
1381962655,548.2,114.34,98.88,0.56,108.04,93.88,0.95
1381962656,548.8,113.02,97.54,0.59,106.54,92.39,0.95
1381962657,549.0,114.63,99.14,0.57,108.15,93.92,0.92
1381962658,549.4,114.66,99.17,0.56,108.14,93.97,0.95
1381962659,549.8,114.42,98.95,0.56,107.91,93.77,0.96
1381962660,550.0,113.40,97.88,0.59,106.98,92.73,0.92
1381962661,550.2,114.94,99.44,0.57,108.16,93.99,0.95
1381962662,550.9,114.78,99.29,0.56,108.18,94.02,0.95
1381962663,551.0,113.41,97.89,0.60,106.97,92.72,0.92
1381962664,551.0999999999999,114.98,99.47,0.57,108.08,93.91,0.95
1381962665,553.8,114.88,99.39,0.56,107.93,93.76,0.96
1381962666,550.6,113.62,98.08,0.60,106.32,92.08,0.93
1381962667,550.4,114.99,99.49,0.56,107.56,93.35,0.94
1381962668,549.9,114.72,99.23,0.57,107.33,93.13,0.95
1381962669,550.1,113.71,98.16,0.60,106.06,91.81,0.92
1381962670,550.3,114.92,99.42,0.57,107.47,93.25,0.95
1381962671,550.0,115.01,99.50,0.56,107.49,93.25,0.94
1381962672,550.3,113.79,98.23,0.60,106.22,91.96,0.92
1381962673,550.5,115.00,99.48,0.57,107.63,93.39,0.94
1381962674,550.3,115.08,99.55,0.56,107.53,93.34,0.95
1381962675,550.6,113.27,97.73,0.60,106.22,91.96,0.92
1381962676,550.8,114.35,98.83,0.57,107.55,93.35,0.95
1381962677,550.6,114.73,99.19,0.56,107.55,93.35,0.95
1381962678,550.8,113.21,97.65,0.59,106.36,92.10,0.92
1381962679,551.2,114.55,99.01,0.56,107.64,93.43,0.94
1381962680,551.0,114.27,98.76,0.57,107.48,93.28,0.95
1381962681,551.2,113.16,97.60,0.59,106.51,92.23,0.92
1381962682,551.6,114.59,99.07,0.56,107.72,93.51,0.95
1381962683,551.6,114.42,98.92,0.56,107.74,93.54,0.95
1381962684,552.0,113.03,97.50,0.60,106.30,92.06,0.93
1381962685,552.4,114.64,99.13,0.56,107.75,93.54,0.95
1381962686,552.2,114.44,98.95,0.56,107.79,93.56,0.95
1381962687,552.6,113.24,97.70,0.60,106.39,92.14,0.93
1381962688,552.8,114.57,99.07,0.56,107.92,93.68,0.94
1381962689,552.7,114.61,99.09,0.57,107.73,93.55,0.96
1381962690,553.0,112.98,97.45,0.59,106.28,92.04,0.93
1381962691,553.3,114.56,99.06,0.57,107.94,93.70,0.95
1381962692,553.2,114.67,99.15,0.56,107.82,93.60,0.95
1381962693,553.5,113.19,97.65,0.59,106.61,92.34,0.93
1381962694,553.9,114.62,99.11,0.56,107.92,93.69,0.95
1381962695,554.7,114.69,99.17,0.56,107.82,93.63,0.96
1381962696,564.5,113.18,97.64,0.60,106.62,92.36,0.93
1381962697,564.3,114.82,99.29,0.56,108.01,93.77,0.94
1381962698,553.7,114.60,99.09,0.56,108.00,93.77,0.95
1381962699,554.0999999999999,113.20,97.65,0.59,106.46,92.22,0.94
1381962700,554.5,114.91,99.38,0.56,108.03,93.79,0.94
1381962701,554.5,114.71,99.20,0.56,108.04,93.83,0.95
1381962702,555.0999999999999,113.40,97.83,0.60,106.51,92.27,0.94
1381962703,555.5,114.83,99.31,0.56,108.16,93.89,0.94
1381962704,555.5,114.94,99.40,0.56,107.98,93.79,0.95
1381962705,555.9,113.17,97.63,0.60,106.36,92.14,0.95
1381962706,556.5,114.84,99.32,0.56,108.13,93.88,0.95
1381962707,556.9,114.96,99.42,0.56,108.04,93.79,0.94
1381962708,564.0,113.48,97.92,0.60,106.74,92.47,0.93
1381962709,564.5,114.93,99.40,0.56,108.29,94.00,0.94
1381962710,554.8,114.99,99.45,0.56,108.06,93.85,0.95
1381962711,561.0,113.33,97.78,0.60,106.67,92.43,0.95
1381962712,560.6,115.12,99.58,0.56,108.31,94.03,0.93
1381962713,560.0,114.50,98.99,0.57,107.84,93.65,0.96
1381962714,560.2,113.40,97.83,0.60,106.72,92.49,0.95
1381962715,560.2,115.00,99.47,0.56,108.35,94.08,0.93
1381962716,559.8,114.95,99.43,0.56,108.22,93.98,0.95
1381962717,559.9000000000001,113.61,98.04,0.60,106.88,92.61,0.94
1381962718,560.0999999999999,115.10,99.57,0.56,108.42,94.14,0.93
1381962719,559.9000000000001,115.06,99.51,0.56,108.35,94.12,0.96
1381962720,560.3,113.34,97.79,0.60,106.71,92.48,0.95
1381962721,560.5,115.10,99.57,0.56,108.44,94.15,0.93
1381962722,560.0999999999999,115.15,99.60,0.56,108.40,94.16,0.95
1381962723,560.5,113.44,97.88,0.60,106.68,92.47,0.96
1381962724,560.8,115.26,99.71,0.56,108.48,94.19,0.93
1381962725,514.0,115.07,99.54,0.56,108.36,94.13,0.96
1381962726,350.7,101.78,86.60,0.67,97.33,83.20,0.98
1381962727,350.4,22.24,8.38,1.09,40.93,27.16,1.09
1381962728,349.9,22.49,8.65,1.09,40.72,26.97,1.09
1381962729,349.5,22.04,8.20,1.09,40.60,26.86,1.09
1381962730,349.20000000000005,21.99,8.16,1.09,40.52,26.78,1.09
1381962731,290.8,22.13,8.30,1.09,40.48,26.75,1.09
