Time	Core	P_PKG	P_PP0	P_DRAM	Core	P_PKG_8
1381962637	0	21.69	7.91	1.09	8	35.21
1381962638	0	21.49	7.74	1.09	8	38.6
1381962639	0	32.35	18.58	1.09	8	41.54
1381962640	0	41.03	27.26	1.09	8	39.33
1381962641	0	35.78	22	1.09	8	39.31
1381962642	0	21.55	7.79	1.09	8	39.24
1381962643	0	21.61	7.83	1.09	8	39.29
1381962644	0	21.49	7.72	1.09	8	39.17
1381962645	0	21.6	7.84	1.09	8	39.19
1381962646	0	21.53	7.75	1.09	8	39.2
1381962647	0	21.56	7.8	1.09	8	39.25
1381962648	0	21.51	7.74	1.09	8	39.2
1381962649	0	23.48	9.74	1.13	8	30.44
1381962650	0	30.15	16.17	1.06	8	44.95
1381962651	0	114.36	98.88	0.57	8	107.61
1381962652	0	114.08	98.61	0.56	8	107.76
1381962653	0	112.47	96.99	0.6	8	106.25
1381962654	0	114.57	99.09	0.56	8	108.13
1381962655	0	114.34	98.88	0.56	8	108.04
1381962656	0	113.02	97.54	0.59	8	106.54
1381962657	0	114.63	99.14	0.57	8	108.15
1381962658	0	114.66	99.17	0.56	8	108.14
1381962659	0	114.42	98.95	0.56	8	107.91
1381962660	0	113.4	97.88	0.59	8	106.98
1381962661	0	114.94	99.44	0.57	8	108.16
1381962662	0	114.78	99.29	0.56	8	108.18
1381962663	0	113.41	97.89	0.6	8	106.97
1381962664	0	114.98	99.47	0.57	8	108.08
1381962665	0	114.88	99.39	0.56	8	107.93
1381962666	0	113.62	98.08	0.6	8	106.32
1381962667	0	114.99	99.49	0.56	8	107.56
1381962668	0	114.72	99.23	0.57	8	107.33
1381962669	0	113.71	98.16	0.6	8	106.06
1381962670	0	114.92	99.42	0.57	8	107.47
1381962671	0	115.01	99.5	0.56	8	107.49
1381962672	0	113.79	98.23	0.6	8	106.22
1381962673	0	115	99.48	0.57	8	107.63
1381962674	0	115.08	99.55	0.56	8	107.53
1381962675	0	113.27	97.73	0.6	8	106.22
1381962676	0	114.35	98.83	0.57	8	107.55
1381962677	0	114.73	99.19	0.56	8	107.55
1381962678	0	113.21	97.65	0.59	8	106.36
1381962679	0	114.55	99.01	0.56	8	107.64
1381962680	0	114.27	98.76	0.57	8	107.48
1381962681	0	113.16	97.6	0.59	8	106.51
1381962682	0	114.59	99.07	0.56	8	107.72
1381962683	0	114.42	98.92	0.56	8	107.74
1381962684	0	113.03	97.5	0.6	8	106.3
1381962685	0	114.64	99.13	0.56	8	107.75
1381962686	0	114.44	98.95	0.56	8	107.79
1381962687	0	113.24	97.7	0.6	8	106.39
1381962688	0	114.57	99.07	0.56	8	107.92
1381962689	0	114.61	99.09	0.57	8	107.73
1381962690	0	112.98	97.45	0.59	8	106.28
1381962691	0	114.56	99.06	0.57	8	107.94
1381962692	0	114.67	99.15	0.56	8	107.82
1381962693	0	113.19	97.65	0.59	8	106.61
1381962694	0	114.62	99.11	0.56	8	107.92
1381962695	0	114.69	99.17	0.56	8	107.82
1381962696	0	113.18	97.64	0.6	8	106.62
1381962697	0	114.82	99.29	0.56	8	108.01
1381962698	0	114.6	99.09	0.56	8	108
1381962699	0	113.2	97.65	0.59	8	106.46
1381962700	0	114.91	99.38	0.56	8	108.03
1381962701	0	114.71	99.2	0.56	8	108.04
1381962702	0	113.4	97.83	0.6	8	106.51
1381962703	0	114.83	99.31	0.56	8	108.16
1381962704	0	114.94	99.4	0.56	8	107.98
1381962705	0	113.17	97.63	0.6	8	106.36
1381962706	0	114.84	99.32	0.56	8	108.13
1381962707	0	114.96	99.42	0.56	8	108.04
1381962708	0	113.48	97.92	0.6	8	106.74
1381962709	0	114.93	99.4	0.56	8	108.29
1381962710	0	114.99	99.45	0.56	8	108.06
1381962711	0	113.33	97.78	0.6	8	106.67
1381962712	0	115.12	99.58	0.56	8	108.31
1381962713	0	114.5	98.99	0.57	8	107.84
1381962714	0	113.4	97.83	0.6	8	106.72
1381962715	0	115	99.47	0.56	8	108.35
1381962716	0	114.95	99.43	0.56	8	108.22
1381962717	0	113.61	98.04	0.6	8	106.88
1381962718	0	115.1	99.57	0.56	8	108.42
1381962719	0	115.06	99.51	0.56	8	108.35
1381962720	0	113.34	97.79	0.6	8	106.71
1381962721	0	115.1	99.57	0.56	8	108.44
1381962722	0	115.15	99.6	0.56	8	108.4
1381962723	0	113.44	97.88	0.6	8	106.68
1381962724	0	115.26	99.71	0.56	8	108.48
1381962725	0	115.07	99.54	0.56	8	108.36
1381962726	0	101.78	86.6	0.67	8	97.33
1381962727	0	22.24	8.38	1.09	8	40.93
1381962728	0	22.49	8.65	1.09	8	40.72
1381962729	0	22.04	8.2	1.09	8	40.6
1381962730	0	21.99	8.16	1.09	8	40.52
1381962731	0	22.13	8.3	1.09	8	40.48
1381962732	0	22.07	8.24	1.09	8	41.1
